date,portfolio_value,cash
2026-07-04,100000.0,100000.0
2026-07-05,99975.89,51753.19
2026-07-06,100126.07,51193.82
2026-07-07,99970.01,47613.13
2026-07-08,98841.37,98841.37
2026-07-10,98815.69,47442.02
