date,portfolio_value,cash
2026-07-05,99971.68,43330.89
2026-07-06,100130.79,43363.0
2026-07-07,98497.89,45926.17
2026-07-08,97337.69,97337.69
2026-07-10,97312.26,46450.86
2026-07-13,97071.36,43492.31
2026-07-13,97071.36,43492.31
2026-07-14,96837.24,44708.23
2026-07-15,96744.65,45147.63
2026-07-16,96652.2,45137.14
2026-07-17,96700.78,42249.25
2026-07-20,96915.19,45535.93
2026-07-20,96915.19,45535.93
