date,portfolio_value,cash
2026-07-05,20000.0,20000.0
2026-07-06,19990.48,956.37
2026-07-07,19877.03,738.42
2026-07-08,19420.43,637.42
2026-07-09,19527.05,455.23
2026-07-10,19819.07,455.23
2026-07-13,19811.05,455.23
2026-07-14,19659.34,455.23
2026-07-15,19751.01,455.23
2026-07-16,19713.2,257.31
2026-07-17,19760.98,536.22
