date,ticker,action,shares,price,value,reason
2026-07-06,ICICIBANK.NS/SBIN.NS,SHORT_SPREAD,49,1232.3,59020.5,Entry Spread Z-Score = 2.61
2026-07-06,TITAN.NS/SBILIFE.NS,SHORT_SPREAD,22,3136.05,55509.6,Entry Spread Z-Score = 1.61
2026-07-06,KOTAKBANK.NS/BAJFINANCE.NS,LONG_SPREAD,107,705.2,59585.3,Entry Spread Z-Score = -2.30
2026-07-13,TCS.NS/APOLLOHOSP.NS,SHORT_SPREAD,16,5482.0,54707.0,Entry Spread Z-Score = 2.21
2026-07-14,GRASIM.NS/APOLLOHOSP.NS,LONG_SPREAD,12,6006.9,54721.2,Entry Spread Z-Score = -1.94
2026-07-17,SBIN.NS/SBILIFE.NS,SHORT_SPREAD,44,1436.85,58510.8,Entry Spread Z-Score = 1.64
2026-07-17,KOTAKBANK.NS/BAJFINANCE.NS,COVER,107,723.13,61048.8,Mean Reversion Reached
